episode,return,length,mean_goal_error,success_ratio,op_delta_damage_sum,self_delta_damage_sum
181,41.21064527222188,291,0.07405233449747473,0.4536082474226804,0.0,0.0
182,32.798088434170495,293,0.09315456742414435,0.36860068259385664,0.0,0.0
183,43.66360610211268,296,0.0717880240314313,0.4797297297297297,0.0,0.0
184,44.50872666031137,297,0.07053270190954208,0.48484848484848486,0.0,0.0
185,52.13360846179421,298,0.06503135380928948,0.5704697986577181,0.0,0.0
186,43.56406342552509,299,0.07618232883737239,0.47157190635451507,0.0,0.0
187,41.40180981384037,290,0.07191976509217558,0.4689655172413793,0.0,0.0
188,58.95325489740935,290,0.05843938748384344,0.6517241379310345,0.0,0.0
189,34.97473009969872,300,0.08540350499252479,0.37666666666666665,0.0,0.0
190,41.23592807881505,294,0.0803057600040825,0.4523809523809524,0.0,0.0
191,56.340810357593,291,0.061094533280818326,0.6288659793814433,0.0,0.0
192,52.869669600215275,290,0.06411945801870576,0.593103448275862,0.0,0.0
193,57.15767593658529,295,0.057771893780110245,0.6372881355932203,0.0,0.0
194,65.18249821267091,293,0.044169735761022406,0.7303754266211604,0.0,0.0
195,44.39007989852689,289,0.0786928921216087,0.5017301038062284,0.0,0.0
196,41.98557078652084,294,0.077837545019226,0.4523809523809524,0.0,0.0
197,48.15307026391383,298,0.07212673975217263,0.5234899328859061,0.0,0.0
198,65.40392591324053,293,0.04816175956571468,0.7303754266211604,0.0,0.0
199,47.77596962112875,300,0.0689989193280538,0.51,0.0,0.0
200,46.91606422624318,291,0.0688558545258037,0.5257731958762887,0.0,0.0
201,40.42789965623524,294,0.07217773754580491,0.4523809523809524,0.0,0.0
202,40.170384261291474,292,0.08030713364890177,0.4486301369863014,0.0,0.0
203,54.04955232713837,289,0.06286330000339495,0.6124567474048442,0.0,0.0
204,38.90391111069039,293,0.08150472359750865,0.4334470989761092,0.0,0.0
205,45.503370813967194,298,0.06826618271286056,0.5067114093959731,0.0,0.0
206,58.34945197211346,294,0.061523622396040936,0.6530612244897959,0.0,0.0
207,41.48246308785747,293,0.0850587980535657,0.4539249146757679,0.0,0.0
208,49.50059745257022,295,0.07228678962436773,0.5457627118644067,0.0,0.0
209,50.506782807351556,296,0.06802281510789653,0.5608108108108109,0.0,0.0
210,52.778651573076786,289,0.05425810398836862,0.5916955017301038,0.0,0.0
211,56.89324419206241,297,0.059783334959837724,0.6161616161616161,0.0,0.0
212,40.047356728606246,294,0.07316240554257315,0.4421768707482993,0.0,0.0
213,37.23743508053303,294,0.0781373178877798,0.40816326530612246,0.0,0.0
214,46.476844481687294,292,0.07235550331844859,0.5171232876712328,0.0,0.0
215,48.27423880473361,294,0.07162422071001967,0.5408163265306123,0.0,0.0
216,44.83334935334278,294,0.07187736655275027,0.4965986394557823,0.0,0.0
217,44.754119731665014,297,0.07353662656814562,0.49158249158249157,0.0,0.0
218,32.859256804396864,297,0.09182343669611999,0.36363636363636365,0.0,0.0
219,48.45883498992771,299,0.08657840517252982,0.5384615384615384,0.0,0.0
220,34.24625100387493,288,0.07246806198317143,0.3854166666666667,0.0,0.0
221,38.28698718814121,291,0.08331223718079504,0.436426116838488,0.0,0.0
222,49.85501257231226,296,0.06741564207383104,0.5472972972972973,0.0,0.0
223,50.846972525760066,295,0.06705700810682975,0.559322033898305,0.0,0.0
224,35.55208937889256,294,0.08340194375336575,0.3843537414965986,0.0,0.0
225,49.161411454493646,299,0.07217795038003985,0.5418060200668896,0.0,0.0
226,37.548422363906866,292,0.09037518034344666,0.4178082191780822,0.0,0.0
227,56.72566534701036,296,0.06671604904270656,0.625,0.0,0.0
228,40.089179059305025,296,0.07153819292481686,0.4358108108108108,0.0,0.0
229,47.18028775497078,295,0.06405638153270139,0.5220338983050847,0.0,0.0
230,45.573761264255154,300,0.06885697677731514,0.49666666666666665,0.0,0.0
231,43.46085022955958,290,0.07148584564184321,0.4827586206896552,0.0,0.0
232,42.19982621876261,304,0.07445791143139727,0.4473684210526316,0.0,0.0
233,45.89754152565729,293,0.0672873368950834,0.515358361774744,0.0,0.0
234,39.766738183330745,295,0.09028124139975693,0.4406779661016949,0.0,0.0
235,38.592652385821566,292,0.0839856223598735,0.4246575342465753,0.0,0.0
236,40.98101124238747,294,0.07855798894552146,0.445578231292517,0.0,0.0
237,38.67761252625496,296,0.07762626734738415,0.42905405405405406,0.0,0.0
238,60.36462210409809,297,0.05332865982445001,0.6565656565656566,0.0,0.0
239,39.33394141356348,291,0.0689365470020222,0.4329896907216495,0.0,0.0
240,50.54213008133229,293,0.0789404191305613,0.5767918088737202,0.0,0.0
241,49.252555061277235,294,0.07344890482166186,0.5374149659863946,0.0,0.0
242,42.325333006854635,297,0.06991985430219759,0.4612794612794613,0.0,0.0
243,48.749123386105566,289,0.06423570922089283,0.5467128027681661,0.0,0.0
244,34.41162089910358,294,0.093060880595324,0.38095238095238093,0.0,0.0
245,59.90672113356413,294,0.06017243119628251,0.6632653061224489,0.0,0.0
246,51.3952607084866,295,0.06457446283203061,0.5627118644067797,0.0,0.0
247,36.92937972693471,294,0.07171624336315661,0.40816326530612246,0.0,0.0
248,55.498486918222625,295,0.05961008632587174,0.6135593220338983,0.0,0.0
249,45.19827717990847,291,0.07251339651567419,0.5017182130584192,0.0,0.0
250,44.119958048686385,290,0.07260835327464958,0.496551724137931,0.0,0.0
251,49.9495649505443,287,0.06075743139309335,0.5679442508710801,0.0,0.0
252,48.278723895622534,298,0.06979015427047774,0.5302013422818792,0.0,0.0
253,40.788214415581024,292,0.07023230547161952,0.4554794520547945,0.0,0.0
254,64.0079267550027,289,0.053250462822229394,0.7197231833910035,0.0,0.0
255,37.32739961706102,296,0.09105636061144036,0.40540540540540543,0.0,0.0
256,57.672160599482595,291,0.05531846767745886,0.6391752577319587,0.0,0.0
257,53.409146600431995,298,0.061745027842737686,0.5838926174496645,0.0,0.0
258,36.32781374598562,289,0.08211039823953668,0.4117647058823529,0.0,0.0
259,54.77682001804533,292,0.06045787383432258,0.613013698630137,0.0,0.0
260,56.2113909018226,296,0.060412776153031235,0.6216216216216216,0.0,0.0
261,53.16943017540325,294,0.058816699957361024,0.5884353741496599,0.0,0.0
262,47.75010223600839,291,0.06470748753994192,0.5292096219931272,0.0,0.0
263,37.40623093955219,294,0.08517480324827084,0.41156462585034015,0.0,0.0
264,30.021345342025597,289,0.07665021885121982,0.3391003460207612,0.0,0.0
265,48.10616433674295,291,0.06876880821493483,0.5360824742268041,0.0,0.0
266,45.17144477984402,293,0.07264098392818569,0.4948805460750853,0.0,0.0
267,43.74931309254316,296,0.0741958196300107,0.4864864864864865,0.0,0.0
268,45.01095988834277,297,0.07474493145039587,0.4882154882154882,0.0,0.0
269,54.83440758848883,296,0.05652743832183045,0.6081081081081081,0.0,0.0
270,39.79382645135047,288,0.09232742812794943,0.4409722222222222,0.0,0.0
271,48.60690568635255,293,0.07010627899051933,0.5392491467576792,0.0,0.0
272,37.449136611943686,295,0.09239986680321774,0.4101694915254237,0.0,0.0
