episode,return,length,mean_goal_error,success_ratio,episode_success,op_delta_damage_sum,self_delta_damage_sum
113,-1.8419277667999268,2,0.4209638833999634,0.0,0.0,0.0,0.0
114,-1.320955216884613,2,0.16047757863998413,0.0,0.0,0.0,0.0
115,-1.5164620876312256,2,0.2532310485839844,0.0,0.0,0.0,0.0
116,-63.067658483982086,219,0.2829116826460242,0.0,0.0,0.0,0.0
117,-1.4320302307605743,2,0.21601513028144836,0.0,0.0,0.0,0.0
118,-1.5041048526763916,2,0.2520524263381958,0.0,0.0,0.0,0.0
119,-1.7032856345176697,2,0.35164278745651245,0.0,0.0,0.0,0.0
120,-2.0423516631126404,2,0.5211758017539978,0.0,0.0,0.0,0.0
121,-60.14946146309376,182,0.3234585803616178,0.0,0.0,0.0,0.0
122,-2.073784589767456,2,0.536892294883728,0.0,0.0,0.0,0.0
123,-1.416152000427246,2,0.20807600021362305,0.0,0.0,0.0,0.0
124,-1.7043449878692627,2,0.35217249393463135,0.0,0.0,0.0,0.0
125,-30.22737130522728,100,0.3213737139105797,1.0,1.0,0.0,0.0
126,-57.25851058959961,83,0.6778133805975857,0.0,0.0,0.0,0.0
127,-1.8601483702659607,2,0.43007415533065796,0.0,0.0,0.0,0.0
128,-2.041612684726715,2,0.5208063721656799,0.0,0.0,0.0,0.0
129,-2.129967749118805,2,0.5649839043617249,0.0,0.0,0.0,0.0
130,-1.5774261951446533,2,0.28871309757232666,0.0,0.0,0.0,0.0
131,-135.1910479068756,304,0.4407929212933308,0.0,0.0,0.0,0.0
132,-1.9648871719837189,2,0.48244360089302063,0.0,0.0,0.0,0.0
133,-1.504737913608551,2,0.2523689866065979,0.0,0.0,0.0,0.0
134,-2.0440399646759033,2,0.5220199823379517,0.0,0.0,0.0,0.0
135,-1.651122808456421,2,0.32556140422821045,0.0,0.0,0.0,0.0
136,-38.02082688361406,134,0.2970210976565062,1.0,1.0,0.0,0.0
137,-94.22119370102882,111,0.8380287748736304,0.0,0.0,0.0,0.0
138,1.9439200162887573,1,0.05607995390892029,1.0,1.0,0.0,0.0
139,-1.684652328491211,2,0.34232616424560547,0.0,0.0,0.0,0.0
140,-1.752777338027954,2,0.37638866901397705,0.0,0.0,0.0,0.0
141,-40.3330434858799,87,0.4865867067342517,1.0,1.0,0.0,0.0
142,-139.54704669117928,174,0.7953278547388384,0.0,0.0,0.0,0.0
143,-1.9806247353553772,2,0.490312397480011,0.0,0.0,0.0,0.0
144,-30.565062284469604,111,0.29337893976821555,1.0,1.0,0.0,0.0
145,-22.997007243335247,74,0.3359055039850441,1.0,1.0,0.0,0.0
146,-2.9196293354034424,2,0.9598146677017212,0.0,0.0,0.0,0.0
147,-1.3518950939178467,2,0.17594754695892334,0.0,0.0,0.0,0.0
148,-2.1077789664268494,2,0.5538894534111023,0.0,0.0,0.0,0.0
149,-1.7497212588787079,2,0.37486061453819275,0.0,0.0,0.0,0.0
150,-1.6460824608802795,2,0.32304126024246216,0.0,0.0,0.0,0.0
151,-16.678952991962433,96,0.1931140935048461,1.0,1.0,0.0,0.0
152,-265.4725215435028,488,0.5407428731073122,0.0,0.0,0.0,0.0
153,-1.814851462841034,2,0.40242570638656616,0.0,0.0,0.0,0.0
154,-1.4129340946674347,2,0.20646706223487854,0.0,0.0,0.0,0.0
155,-1.7190091907978058,2,0.3595046103000641,0.0,0.0,0.0,0.0
156,-101.41024351119995,221,0.45258028919880205,0.0,0.0,0.0,0.0
157,-1.9940507113933563,2,0.49702534079551697,0.0,0.0,0.0,0.0
158,-1.5342280566692352,2,0.2671140134334564,0.0,0.0,0.0,0.0
159,-1.7918986976146698,2,0.3959493339061737,0.0,0.0,0.0,0.0
160,-1.7518286108970642,2,0.3759142756462097,0.0,0.0,0.0,0.0
161,-70.76048839092255,103,0.6764125106404129,0.0,0.0,0.0,0.0
162,-1.6080434024333954,2,0.3040216863155365,0.0,0.0,0.0,0.0
163,-1.4223379492759705,2,0.21116894483566284,0.0,0.0,0.0,0.0
164,-1.8858189284801483,2,0.44290944933891296,0.0,0.0,0.0,0.0
165,-1.6669244170188904,2,0.3334621787071228,0.0,0.0,0.0,0.0
166,-72.22705388069153,173,0.4106766128471132,0.0,0.0,0.0,0.0
167,-1.5420634746551514,2,0.2710317373275757,0.0,0.0,0.0,0.0
168,-1.7725768387317657,2,0.38628843426704407,0.0,0.0,0.0,0.0
169,-1.9802725315093994,2,0.4901362657546997,0.0,0.0,0.0,0.0
170,-1.8099111914634705,2,0.40495556592941284,0.0,0.0,0.0,0.0
171,-8.347369022667408,90,0.11352632310655382,1.0,1.0,0.0,0.0
172,-11.882887184619904,68,0.20298363531337066,1.0,1.0,0.0,0.0
173,-36.77209295332432,129,0.2979232033555822,1.0,1.0,0.0,0.0
174,-152.33643060922623,162,0.9336199425620797,0.0,0.0,0.0,0.0
175,-1.4721031785011292,2,0.23605161905288696,0.0,0.0,0.0,0.0
176,-24.353318005800247,126,0.2080422057991936,1.0,1.0,0.0,0.0
177,-108.35654702782631,167,0.642853575016924,0.0,0.0,0.0,0.0
178,-1.433158129453659,2,0.21657904982566833,0.0,0.0,0.0,0.0
179,-1.9188311100006104,2,0.4594155550003052,0.0,0.0,0.0,0.0
180,-1.8094799220561981,2,0.40473994612693787,0.0,0.0,0.0,0.0
181,-161.95251834392548,270,0.5952315501592778,0.0,0.0,0.0,0.0
182,1.9045252799987793,1,0.09547466039657593,1.0,1.0,0.0,0.0
183,1.940761923789978,1,0.05923810601234436,1.0,1.0,0.0,0.0
184,-1.6860213875770569,2,0.34301072359085083,0.0,0.0,0.0,0.0
185,-1.5506918728351593,2,0.27534595131874084,0.0,0.0,0.0,0.0
186,-42.87508377432823,135,0.33151913947529266,1.0,1.0,0.0,0.0
187,-102.70362463593483,152,0.6687738464066857,0.0,0.0,0.0,0.0
188,-1.8218683898448944,2,0.410934180021286,0.0,0.0,0.0,0.0
189,-1.7114262580871582,2,0.3557131290435791,0.0,0.0,0.0,0.0
190,-1.5345082879066467,2,0.26725417375564575,0.0,0.0,0.0,0.0
191,-36.851788222789764,143,0.2714111063030216,1.0,1.0,0.0,0.0
192,-2.9696964398026466,26,0.18729601743129584,1.0,1.0,0.0,0.0
193,-176.8926312327385,280,0.6271522551774978,0.0,0.0,0.0,0.0
194,-1.3654520809650421,2,0.18272605538368225,0.0,0.0,0.0,0.0
195,-1.6057528853416443,2,0.30287641286849976,0.0,0.0,0.0,0.0
196,-123.89800653606653,360,0.34813335264722506,1.0,1.0,0.0,0.0
197,-54.81701040267944,66,0.8151062185114081,0.0,0.0,0.0,0.0
198,-1.3567876517772675,2,0.17839381098747253,0.0,0.0,0.0,0.0
199,-1.6400112807750702,2,0.3200056254863739,0.0,0.0,0.0,0.0
200,-1.9002907574176788,2,0.4501453936100006,0.0,0.0,0.0,0.0
201,-29.17284169793129,93,0.33142840798183154,1.0,1.0,0.0,0.0
202,1.9192566871643066,1,0.08074334263801575,1.0,1.0,0.0,0.0
203,-23.81533308327198,78,0.32891452732758647,1.0,1.0,0.0,0.0
204,-92.14398193359375,102,0.8933723720849729,0.0,0.0,0.0,0.0
205,-2.010071337223053,2,0.5050356984138489,0.0,0.0,0.0,0.0
206,-324.4828534722328,407,0.7934468155703908,0.0,0.0,0.0,0.0
207,-1.728228509426117,2,0.3641142249107361,0.0,0.0,0.0,0.0
208,-1.6827836334705353,2,0.34139183163642883,0.0,0.0,0.0,0.0
209,-1.6945719420909882,2,0.3472859561443329,0.0,0.0,0.0,0.0
210,-1.6653327941894531,2,0.33266639709472656,0.0,0.0,0.0,0.0
211,-22.54911708831787,81,0.3030755196088626,1.0,1.0,0.0,0.0
212,-70.02565196156502,165,0.4342160745100542,1.0,1.0,0.0,0.0
213,-110.01701480150223,118,0.9229408037864556,0.0,0.0,0.0,0.0
214,-1.6899092197418213,2,0.34495460987091064,0.0,0.0,0.0,0.0
215,-1.6186371445655823,2,0.3093186020851135,0.0,0.0,0.0,0.0
216,-297.5067579895258,482,0.6134580057500804,0.0,0.0,0.0,0.0
217,-1.4527616798877716,2,0.226380854845047,0.0,0.0,0.0,0.0
218,-1.929980218410492,2,0.4649900794029236,0.0,0.0,0.0,0.0
219,-1.516827791929245,2,0.2584138810634613,0.0,0.0,0.0,0.0
220,-1.4878251552581787,2,0.24391257762908936,0.0,0.0,0.0,0.0
221,1.9434192180633545,1,0.05658072233200073,1.0,1.0,0.0,0.0
222,-132.95962789654732,246,0.5349984889834877,0.0,0.0,0.0,0.0
223,-1.5599145293235779,2,0.27995723485946655,0.0,0.0,0.0,0.0
